,season,round,circuit_id,date,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,date_of_birth,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points_after_race,constructor_wins_after_race,constructor_standings_pos_after_race,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time
0,2014,1,albert_park,2014-03-16,0,0,0,0,0,rosberg,1985-06-27,German,mercedes,3,1,0.0,0.0,0.0,25.0,1,2,0.0,0.0,0.0,01:44.6
1,2014,1,albert_park,2014-03-16,0,0,0,0,0,kevin_magnussen,1992-10-05,Danish,mclaren,4,2,0.0,0.0,0.0,33.0,0,1,0.0,0.0,0.0,01:45.7
2,2014,1,albert_park,2014-03-16,0,0,0,0,0,button,1980-01-19,British,mclaren,10,3,0.0,0.0,0.0,33.0,0,1,0.0,0.0,0.0,01:44.4
3,2014,1,albert_park,2014-03-16,0,0,0,0,0,alonso,1981-07-29,Spanish,ferrari,5,4,0.0,0.0,0.0,18.0,0,3,0.0,0.0,0.0,01:45.8
4,2014,1,albert_park,2014-03-16,0,0,0,0,0,bottas,1989-08-28,Finnish,williams,15,5,0.0,0.0,0.0,10.0,0,4,0.0,0.0,0.0,01:48.1
5,2014,1,albert_park,2014-03-16,0,0,0,0,0,hulkenberg,1987-08-19,German,force_india,7,6,0.0,0.0,0.0,9.0,0,5,0.0,0.0,0.0,01:46.0
6,2014,1,albert_park,2014-03-16,0,0,0,0,0,raikkonen,1979-10-17,Finnish,ferrari,11,7,0.0,0.0,0.0,18.0,0,3,0.0,0.0,0.0,01:44.5
7,2014,1,albert_park,2014-03-16,0,0,0,0,0,vergne,1990-04-25,French,toro_rosso,6,8,0.0,0.0,0.0,6.0,0,6,0.0,0.0,0.0,01:45.9
8,2014,1,albert_park,2014-03-16,0,0,0,0,0,kvyat,1994-04-26,Russian,toro_rosso,8,9,0.0,0.0,0.0,6.0,0,6,0.0,0.0,0.0,01:47.4
9,2014,1,albert_park,2014-03-16,0,0,0,0,0,perez,1990-01-26,Mexican,force_india,16,10,0.0,0.0,0.0,9.0,0,5,0.0,0.0,0.0,01:47.3
10,2014,1,albert_park,2014-03-16,0,0,0,0,0,sutil,1983-01-11,German,sauber,13,11,0.0,0.0,0.0,0.0,0,7,0.0,0.0,0.0,01:45.7
11,2014,1,albert_park,2014-03-16,0,0,0,0,0,gutierrez,1991-08-05,Mexican,sauber,20,12,0.0,0.0,0.0,0.0,0,7,0.0,0.0,0.0,01:35.1
12,2014,1,albert_park,2014-03-16,0,0,0,0,0,chilton,1991-04-21,British,marussia,17,13,0.0,0.0,0.0,0.0,0,8,0.0,0.0,0.0,01:34.3
